Ethnic or cultural origin: Single or multiple response indicator (3) 5,Total - Single and multiple ethnic or cultural origin responses,Single ethnic or cultural origin responses,Multiple ethnic or cultural origin responses
Total - Ethnic or cultural origin,"50,600","14,065","36,540"
North American origins,"3,200",900,"2,310"
"North American, n.o.s. 11",20,0,20
North American Indigenous origins,80,0,80
"North American Indigenous, n.o.s. 12",0,0,0
First Nations (North American Indian) origins,55,0,55
"First Nations (North American Indian), n.o.s. 13",20,0,20
Abenaki,0,0,0
Anishinaabe origins,0,0,0
"Anishinaabe, n.o.s. 14",0,0,0
Algonquin,0,0,0
Odawa,0,0,0
Ojibway,0,0,0
Oji-Cree,0,0,0
Potawatomi,0,0,0
Saulteaux,0,0,0
"Anishinaabe origins, n.i.e. 15",0,0,0
Apache,0,0,0
Atikamekw,0,0,0
Blackfoot origins,0,0,0
"Blackfoot, n.o.s. 16",0,0,0
Blood (Kainai),0,0,0
Piikani,0,0,0
Siksika,0,0,0
"Blackfoot origins, n.i.e. 17",0,0,0
Cherokee,0,0,0
Cheyenne,0,0,0
Choctaw,0,0,0
Cree origins,10,0,10
"Cree, n.o.s. 18",10,0,10
Moose Cree,0,0,0
Plains Cree,0,0,0
Swampy Cree,0,0,0
Woodland Cree,0,0,0
"Cree origins, n.i.e. 19",0,0,0
Delaware (Lenape),0,0,0
Dene origins,10,0,10
"Dene, n.o.s. 20",0,0,0
Beaver (Dunne-za),0,0,0
Carrier (Dakelh),0,0,0
Chilcotin (Tsilhqot'in),0,0,0
Chipewyan (Denesuline),0,0,0
Dene Tha’ (Slavey),0,0,0
Gwich'in,10,0,10
Kaska,0,0,0
Sahtú (North Slavey),0,0,0
Tahltan,0,0,0
Tlicho (Dogrib),0,0,0
Tlingit,0,0,0
Tse'khene (Sekani),0,0,0
Tsuut'ina (Sarcee),0,0,0
Tutchone,0,0,0
Wet'suwet'en,0,0,0
"Dene origins, n.i.e. 21",0,0,0
Gitxsan,0,0,0
Haida,0,0,0
Haisla,0,0,0
Heiltsuk,0,0,0
Huron (Wendat),0,0,0
Innu origins,0,0,0
"Innu/Montagnais, n.o.s. 22",0,0,0
Naskapi,0,0,0
Iroquoian (Haudenosaunee) origins,0,0,0
"Iroquois (Haudenosaunee), n.o.s. 23",0,0,0
Cayuga,0,0,0
Mohawk,0,0,0
Oneida,0,0,0
Tuscarora,0,0,0
"Iroquoian (Haudenosaunee) origins, n.i.e. 24",0,0,0
Ktunaxa (Kutenai),0,0,0
Kwakwaka'wakw origins,0,0,0
"Kwakwaka'wakw, n.o.s. 25",0,0,0
Kwakiutl,0,0,0
Laich-kwil-tach,0,0,0
'Namgis,0,0,0
Quatsino,0,0,0
"Kwakwaka'wakw origins, n.i.e. 26",0,0,0
Maliseet,0,0,0
Mi'kmaq origins,0,0,0
"Mi'kmaq, n.o.s. 27",0,0,0
Qalipu Mi'kmaq,0,0,0
Navajo,0,0,0
Nisga'a,0,0,0
Nuu-chah-nulth origins,0,0,0
"Nuu-chah-nulth, n.o.s. 28",0,0,0
Ahousaht,0,0,0
Ditidaht,0,0,0
Tla-o-qui-aht,0,0,0
Tseshaht,0,0,0
"Nuu-chah-nulth origins, n.i.e. 29",0,0,0
Nuxalk,0,0,0
Passamaquoddy,0,0,0
Salish origins,0,0,0
"Salish, n.o.s. 30",0,0,0
Coast Salish origins,0,0,0
"Coast Salish, n.o.s. 31",0,0,0
Chemainus (Stz'uminus),0,0,0
Cowichan,0,0,0
Homalco,0,0,0
Musqueam,0,0,0
Penelakut,0,0,0
Shíshálh (Sechelt),0,0,0
Snuneymuxw,0,0,0
Squamish,0,0,0
Stó:lo,0,0,0
WSÁNEC (Saanich),0,0,0
"Coast Salish origins, n.i.e. 32",0,0,0
Interior Salish origins,0,0,0
"Interior Salish, n.o.s. 33",0,0,0
Nlaka'pamux (Thompson),0,0,0
Okanagan (Syilx),0,0,0
Secwepemc (Shuswap),0,0,0
St'at'imc (Lillooet),0,0,0
"Interior Salish origins, n.i.e. 34",0,0,0
Siouan origins,0,0,0
"Sioux, n.o.s. 35",0,0,0
Assiniboine,0,0,0
Dakota,0,0,0
Lakota,0,0,0
Stoney (Nakoda),0,0,0
Tsimshian,0,0,0
Wuikinuxv,0,0,0
"First Nations (North American Indian) origins, n.i.e. 36",0,0,0
Inuit origins,0,0,0
"Inuit, n.o.s. 37",0,0,0
Inuvialuit,0,0,0
"Inuit origins, n.i.e. 38",0,0,0
Métis,20,0,20
Other North American origins,"3,120",900,"2,220"
Acadian,0,0,0
African American,235,0,230
African Canadian,75,0,75
African Nova Scotian,0,0,0
Albertan,0,0,0
American,315,10,305
British Columbian,80,10,65
Canadian,"2,380",870,"1,510"
Cape Bretoner,0,0,0
Franco Ontarian,0,0,0
French Canadian,105,0,105
Gaspesian,0,0,0
Manitoban,0,0,0
New Brunswicker,0,0,0
Newfoundlander,0,0,0
Nova Scotian,0,0,0
Ontarian,0,0,0
Pennsylvania Dutch,15,0,15
Prince Edward Islander,0,0,0
Québécois,0,0,0
Saskatchewanian,0,0,0
United Empire Loyalist,0,0,0
"Other North American origins, n.i.e. 39",0,0,0
