Ethnic or cultural origin: Single or multiple response indicator (3) 5,Total - Single and multiple ethnic or cultural origin responses,Single ethnic or cultural origin responses,Multiple ethnic or cultural origin responses
Total - Ethnic or cultural origin,100.0,27.796442687747035,72.21343873517786
North American origins,6.324110671936759,1.7786561264822134,4.565217391304348
"North American, n.o.s. 11",0.03952569169960474,0.0,0.03952569169960474
North American Indigenous origins,0.15810276679841895,0.0,0.15810276679841895
"North American Indigenous, n.o.s. 12",0.0,0.0,0.0
First Nations (North American Indian) origins,0.10869565217391304,0.0,0.10869565217391304
"First Nations (North American Indian), n.o.s. 13",0.03952569169960474,0.0,0.03952569169960474
Abenaki,0.0,0.0,0.0
Anishinaabe origins,0.0,0.0,0.0
"Anishinaabe, n.o.s. 14",0.0,0.0,0.0
Algonquin,0.0,0.0,0.0
Odawa,0.0,0.0,0.0
Ojibway,0.0,0.0,0.0
Oji-Cree,0.0,0.0,0.0
Potawatomi,0.0,0.0,0.0
Saulteaux,0.0,0.0,0.0
"Anishinaabe origins, n.i.e. 15",0.0,0.0,0.0
Apache,0.0,0.0,0.0
Atikamekw,0.0,0.0,0.0
Blackfoot origins,0.0,0.0,0.0
"Blackfoot, n.o.s. 16",0.0,0.0,0.0
Blood (Kainai),0.0,0.0,0.0
Piikani,0.0,0.0,0.0
Siksika,0.0,0.0,0.0
"Blackfoot origins, n.i.e. 17",0.0,0.0,0.0
Cherokee,0.0,0.0,0.0
Cheyenne,0.0,0.0,0.0
Choctaw,0.0,0.0,0.0
Cree origins,0.01976284584980237,0.0,0.01976284584980237
"Cree, n.o.s. 18",0.01976284584980237,0.0,0.01976284584980237
Moose Cree,0.0,0.0,0.0
Plains Cree,0.0,0.0,0.0
Swampy Cree,0.0,0.0,0.0
Woodland Cree,0.0,0.0,0.0
"Cree origins, n.i.e. 19",0.0,0.0,0.0
Delaware (Lenape),0.0,0.0,0.0
Dene origins,0.01976284584980237,0.0,0.01976284584980237
"Dene, n.o.s. 20",0.0,0.0,0.0
Beaver (Dunne-za),0.0,0.0,0.0
Carrier (Dakelh),0.0,0.0,0.0
Chilcotin (Tsilhqot'in),0.0,0.0,0.0
Chipewyan (Denesuline),0.0,0.0,0.0
Dene Tha’ (Slavey),0.0,0.0,0.0
Gwich'in,0.01976284584980237,0.0,0.01976284584980237
Kaska,0.0,0.0,0.0
Sahtú (North Slavey),0.0,0.0,0.0
Tahltan,0.0,0.0,0.0
Tlicho (Dogrib),0.0,0.0,0.0
Tlingit,0.0,0.0,0.0
Tse'khene (Sekani),0.0,0.0,0.0
Tsuut'ina (Sarcee),0.0,0.0,0.0
Tutchone,0.0,0.0,0.0
Wet'suwet'en,0.0,0.0,0.0
"Dene origins, n.i.e. 21",0.0,0.0,0.0
Gitxsan,0.0,0.0,0.0
Haida,0.0,0.0,0.0
Haisla,0.0,0.0,0.0
Heiltsuk,0.0,0.0,0.0
Huron (Wendat),0.0,0.0,0.0
Innu origins,0.0,0.0,0.0
"Innu/Montagnais, n.o.s. 22",0.0,0.0,0.0
Naskapi,0.0,0.0,0.0
Iroquoian (Haudenosaunee) origins,0.0,0.0,0.0
"Iroquois (Haudenosaunee), n.o.s. 23",0.0,0.0,0.0
Cayuga,0.0,0.0,0.0
Mohawk,0.0,0.0,0.0
Oneida,0.0,0.0,0.0
Tuscarora,0.0,0.0,0.0
"Iroquoian (Haudenosaunee) origins, n.i.e. 24",0.0,0.0,0.0
Ktunaxa (Kutenai),0.0,0.0,0.0
Kwakwaka'wakw origins,0.0,0.0,0.0
"Kwakwaka'wakw, n.o.s. 25",0.0,0.0,0.0
Kwakiutl,0.0,0.0,0.0
Laich-kwil-tach,0.0,0.0,0.0
'Namgis,0.0,0.0,0.0
Quatsino,0.0,0.0,0.0
"Kwakwaka'wakw origins, n.i.e. 26",0.0,0.0,0.0
Maliseet,0.0,0.0,0.0
Mi'kmaq origins,0.0,0.0,0.0
"Mi'kmaq, n.o.s. 27",0.0,0.0,0.0
Qalipu Mi'kmaq,0.0,0.0,0.0
Navajo,0.0,0.0,0.0
Nisga'a,0.0,0.0,0.0
Nuu-chah-nulth origins,0.0,0.0,0.0
"Nuu-chah-nulth, n.o.s. 28",0.0,0.0,0.0
Ahousaht,0.0,0.0,0.0
Ditidaht,0.0,0.0,0.0
Tla-o-qui-aht,0.0,0.0,0.0
Tseshaht,0.0,0.0,0.0
"Nuu-chah-nulth origins, n.i.e. 29",0.0,0.0,0.0
Nuxalk,0.0,0.0,0.0
Passamaquoddy,0.0,0.0,0.0
Salish origins,0.0,0.0,0.0
"Salish, n.o.s. 30",0.0,0.0,0.0
Coast Salish origins,0.0,0.0,0.0
"Coast Salish, n.o.s. 31",0.0,0.0,0.0
Chemainus (Stz'uminus),0.0,0.0,0.0
Cowichan,0.0,0.0,0.0
Homalco,0.0,0.0,0.0
Musqueam,0.0,0.0,0.0
Penelakut,0.0,0.0,0.0
Shíshálh (Sechelt),0.0,0.0,0.0
Snuneymuxw,0.0,0.0,0.0
Squamish,0.0,0.0,0.0
Stó:lo,0.0,0.0,0.0
WSÁNEC (Saanich),0.0,0.0,0.0
"Coast Salish origins, n.i.e. 32",0.0,0.0,0.0
Interior Salish origins,0.0,0.0,0.0
"Interior Salish, n.o.s. 33",0.0,0.0,0.0
Nlaka'pamux (Thompson),0.0,0.0,0.0
Okanagan (Syilx),0.0,0.0,0.0
Secwepemc (Shuswap),0.0,0.0,0.0
St'at'imc (Lillooet),0.0,0.0,0.0
"Interior Salish origins, n.i.e. 34",0.0,0.0,0.0
Siouan origins,0.0,0.0,0.0
"Sioux, n.o.s. 35",0.0,0.0,0.0
Assiniboine,0.0,0.0,0.0
Dakota,0.0,0.0,0.0
Lakota,0.0,0.0,0.0
Stoney (Nakoda),0.0,0.0,0.0
Tsimshian,0.0,0.0,0.0
Wuikinuxv,0.0,0.0,0.0
"First Nations (North American Indian) origins, n.i.e. 36",0.0,0.0,0.0
Inuit origins,0.0,0.0,0.0
"Inuit, n.o.s. 37",0.0,0.0,0.0
Inuvialuit,0.0,0.0,0.0
"Inuit origins, n.i.e. 38",0.0,0.0,0.0
Métis,0.03952569169960474,0.0,0.03952569169960474
Other North American origins,6.16600790513834,1.7786561264822134,4.387351778656126
Acadian,0.0,0.0,0.0
African American,0.4644268774703557,0.0,0.45454545454545453
African Canadian,0.14822134387351776,0.0,0.14822134387351776
African Nova Scotian,0.0,0.0,0.0
Albertan,0.0,0.0,0.0
American,0.6225296442687747,0.01976284584980237,0.6027667984189723
British Columbian,0.15810276679841895,0.01976284584980237,0.1284584980237154
Canadian,4.703557312252964,1.7193675889328062,2.9841897233201577
Cape Bretoner,0.0,0.0,0.0
Franco Ontarian,0.0,0.0,0.0
French Canadian,0.2075098814229249,0.0,0.2075098814229249
Gaspesian,0.0,0.0,0.0
Manitoban,0.0,0.0,0.0
New Brunswicker,0.0,0.0,0.0
Newfoundlander,0.0,0.0,0.0
Nova Scotian,0.0,0.0,0.0
Ontarian,0.0,0.0,0.0
Pennsylvania Dutch,0.029644268774703556,0.0,0.029644268774703556
Prince Edward Islander,0.0,0.0,0.0
Québécois,0.0,0.0,0.0
Saskatchewanian,0.0,0.0,0.0
United Empire Loyalist,0.0,0.0,0.0
"Other North American origins, n.i.e. 39",0.0,0.0,0.0
European origins,18.023715415019762,0.2569169960474308,17.75691699604743
"European, n.o.s. 40",0.8596837944664031,0.01976284584980237,0.849802371541502
British Isles origins,7.144268774703557,0.09881422924901186,7.045454545454545
"British Isles, n.o.s. 41",1.0968379446640315,0.0,1.0869565217391304
Channel Islander,0.0,0.0,0.0
Cornish,0.0,0.0,0.0
English,3.3300395256916993,0.06916996047430829,3.260869565217391
Irish,1.9861660079051382,0.01976284584980237,1.966403162055336
Manx,0.0,0.0,0.0
Northern Irish,0.0,0.0,0.0
Orcadian,0.0,0.0,0.0
Scottish,2.3814229249011856,0.0,2.3814229249011856
Ulster Scot,0.0,0.0,0.0
Welsh,0.24703557312252963,0.0,0.24703557312252963
"British Isles origins, n.i.e. 42",0.0,0.0,0.0
French origins,1.4822134387351777,0.029644268774703556,1.4525691699604741
"French, n.o.s. 43",1.4822134387351777,0.029644268774703556,1.4525691699604741
Alsatian,0.0,0.0,0.0
Breton,0.0,0.0,0.0
Corsican,0.0,0.0,0.0
Norman,0.0,0.0,0.0
"French origins, n.i.e. 44",0.0,0.0,0.0
Other Western European origins,2.924901185770751,0.01976284584980237,2.9051383399209483
"Western European, n.o.s. 45",0.07905138339920947,0.0,0.07905138339920947
Austrian,0.1284584980237154,0.0,0.1284584980237154
Bavarian,0.0,0.0,0.0
Belgian,0.05928853754940711,0.0,0.05928853754940711
Dutch,0.7707509881422925,0.0,0.7608695652173912
Flemish,0.0,0.0,0.0
Frisian,0.0,0.0,0.0
German,1.9169960474308299,0.0,1.8972332015810276
Luxembourger,0.0,0.0,0.0
Swiss,0.08893280632411067,0.0,0.08893280632411067
Walloon,0.0,0.0,0.0
"Other Western European origins, n.i.e. 46",0.0,0.0,0.0
Other Northern European origins,1.0770750988142292,0.0,1.0770750988142292
"Northern European, n.o.s. 47",0.13833992094861658,0.0,0.13833992094861658
Danish,0.1976284584980237,0.0,0.1976284584980237
Finnish,0.11857707509881422,0.0,0.11857707509881422
Icelandic,0.06916996047430829,0.0,0.06916996047430829
Norwegian,0.28656126482213434,0.0,0.28656126482213434
Sami,0.0,0.0,0.0
Swedish,0.27667984189723316,0.0,0.27667984189723316
"Other Northern European origins, n.i.e. 48",0.0,0.0,0.0
Southern European origins,7.470355731225296,0.07905138339920947,7.401185770750987
"Southern European, n.o.s. 49",0.029644268774703556,0.0,0.029644268774703556
Azorean,0.0,0.0,0.0
Basque,0.01976284584980237,0.0,0.01976284584980237
Catalan,0.0,0.0,0.0
Galician,0.0,0.0,0.0
Greek,0.09881422924901186,0.0,0.09881422924901186
Italian,0.9387351778656126,0.0,0.9288537549407114
Maltese,0.0,0.0,0.0
Portuguese,1.4920948616600789,0.01976284584980237,1.4624505928853755
Sicilian,0.0,0.0,0.0
Spanish,5.454545454545454,0.04940711462450593,5.405138339920948
"Southern European origins, n.i.e. 50",0.0,0.0,0.0
Southeast European origins,0.18774703557312253,0.01976284584980237,0.17786561264822134
"Southeast European, n.o.s. 51",0.0,0.0,0.0
Albanian,0.01976284584980237,0.0,0.01976284584980237
Bosniak,0.0,0.0,0.0
Bosnian,0.0,0.0,0.0
Bulgarian,0.0,0.0,0.0
Croatian,0.06916996047430829,0.0,0.06916996047430829
Kosovar,0.0,0.0,0.0
Macedonian,0.0,0.0,0.0
Moldovan,0.0,0.0,0.0
Montenegrin,0.0,0.0,0.0
Romanian,0.029644268774703556,0.0,0.01976284584980237
Serbian,0.01976284584980237,0.0,0.01976284584980237
Slovenian,0.029644268774703556,0.0,0.029644268774703556
Transylvanian,0.0,0.0,0.0
"Yugoslavian, n.o.s. 52",0.0,0.0,0.0
"Southeast European origins, n.i.e. 53",0.0,0.0,0.0
Eastern European origins,1.383399209486166,0.0,1.3735177865612647
"Eastern European, n.o.s. 54",0.03952569169960474,0.0,0.03952569169960474
Bohemian,0.0,0.0,0.0
Byelorussian,0.0,0.0,0.0
Czech,0.09881422924901186,0.0,0.09881422924901186
"Czechoslovakian, n.o.s. 55",0.0,0.0,0.0
Estonian,0.0,0.0,0.0
Hungarian,0.10869565217391304,0.0,0.10869565217391304
Kashubian,0.0,0.0,0.0
Latvian,0.0,0.0,0.0
Lithuanian,0.01976284584980237,0.0,0.01976284584980237
Polish,0.3063241106719367,0.0,0.3063241106719367
Russian,0.45454545454545453,0.0,0.45454545454545453
Ruthenian,0.0,0.0,0.0
Slovak,0.0,0.0,0.0
Ukrainian,0.4743083003952569,0.0,0.4743083003952569
"Eastern European origins, n.i.e. 56",0.0,0.0,0.0
Other European origins,0.04940711462450593,0.0,0.04940711462450593
"Celtic, n.o.s. 57",0.01976284584980237,0.0,0.01976284584980237
Roma,0.0,0.0,0.0
"Slavic, n.o.s. 58",0.01976284584980237,0.0,0.01976284584980237
"Other European origins, n.i.e. 59",0.0,0.0,0.0
Caribbean origins,4.258893280632411,0.36561264822134387,3.893280632411067
"Caribbean, n.o.s. 60",0.5237154150197628,0.01976284584980237,0.5138339920948616
African Caribbean,0.1976284584980237,0.0,0.1976284584980237
Antiguan,0.0,0.0,0.0
Aruban,0.0,0.0,0.0
Bahamian,0.0,0.0,0.0
Barbadian,0.22727272727272727,0.01976284584980237,0.2075098814229249
Bermudian,0.04940711462450593,0.0,0.04940711462450593
Carib,0.08893280632411067,0.0,0.08893280632411067
Cuban,0.28656126482213434,0.03952569169960474,0.24703557312252963
Dominica Islander,0.0,0.0,0.0
Dominican,0.2075098814229249,0.01976284584980237,0.18774703557312253
Grenadian,0.07905138339920947,0.0,0.07905138339920947
Guadeloupean,0.0,0.0,0.0
Haitian,0.08893280632411067,0.0,0.08893280632411067
Indo-Caribbean,0.09881422924901186,0.0,0.09881422924901186
Jamaican,1.2450592885375493,0.13833992094861658,1.0968379446640315
Kittitian/Nevisian,0.0,0.0,0.0
Maroon,0.0,0.0,0.0
Martinican,0.0,0.0,0.0
Montserratian,0.0,0.0,0.0
Puerto Rican,0.10869565217391304,0.0,0.09881422924901186
St. Lucian,0.04940711462450593,0.01976284584980237,0.03952569169960474
Trinidadian/Tobagonian,0.9090909090909091,0.10869565217391304,0.8102766798418972
Vincentian,0.06916996047430829,0.0,0.06916996047430829
"West Indian, n.o.s. 61",0.3359683794466403,0.0,0.3359683794466403
"Caribbean origins, n.i.e. 62",0.03952569169960474,0.0,0.03952569169960474
"Latin, Central and South American origins",8.725296442687746,0.8992094861660078,7.83596837944664
"Latin, Central or South American, n.o.s. 63",0.9486166007905138,0.11857707509881422,0.8300395256916996
Arawak,0.05928853754940711,0.0,0.05928853754940711
Argentinian,0.13833992094861658,0.01976284584980237,0.11857707509881422
Belizean,0.04940711462450593,0.0,0.03952569169960474
Bolivian,0.03952569169960474,0.0,0.03952569169960474
Brazilian,1.4229249011857708,0.24703557312252963,1.175889328063241
Chilean,0.5039525691699605,0.0,0.49407114624505927
Colombian,0.4051383399209486,0.05928853754940711,0.3458498023715415
Costa Rican,0.10869565217391304,0.01976284584980237,0.09881422924901186
Ecuadorian,0.09881422924901186,0.0,0.09881422924901186
Guatemalan,0.3063241106719367,0.0,0.2964426877470355
Guyanese,0.44466403162055335,0.029644268774703556,0.4150197628458498
"Hispanic, n.o.s. 64",0.6521739130434783,0.06916996047430829,0.5830039525691699
Honduran,0.1976284584980237,0.029644268774703556,0.16798418972332016
"Indigenous origins from Latin, Central and South America, n.i.e. 65",0.7411067193675889,0.03952569169960474,0.7114624505928854
Indo-Guyanese,0.0,0.0,0.0
Mapuche,0.0,0.0,0.0
Mayan,0.1976284584980237,0.04940711462450593,0.14822134387351776
Mexican,1.33399209486166,0.029644268774703556,1.3043478260869565
Nicaraguan,0.36561264822134387,0.08893280632411067,0.27667984189723316
Panamanian,0.05928853754940711,0.0,0.05928853754940711
Paraguayan,0.0,0.0,0.0
Peruvian,0.4644268774703557,0.0,0.4644268774703557
Pipil,0.0,0.0,0.0
Quechua,0.03952569169960474,0.03952569169960474,0.0
Salvadorean,0.4743083003952569,0.0,0.4743083003952569
Surinamese,0.0,0.0,0.0
Uruguayan,0.0,0.0,0.0
Venezuelan,0.14822134387351776,0.029644268774703556,0.11857707509881422
"Latin, Central and South American origins, n.i.e. 66",0.0,0.0,0.0
African origins,6.343873517786561,0.5830039525691699,5.760869565217391
"African, n.o.s. 67",2.4802371541501973,0.06916996047430829,2.411067193675889
Central and West African origins,0.8893280632411067,0.10869565217391304,0.7806324110671936
"Central or West African, n.o.s. 68",0.04940711462450593,0.0,0.03952569169960474
"Akan, n.o.s. 69",0.01976284584980237,0.0,0.01976284584980237
Angolan,0.01976284584980237,0.0,0.01976284584980237
Ashanti,0.03952569169960474,0.0,0.03952569169960474
Bambara,0.0,0.0,0.0
Bamileke,0.0,0.0,0.0
Baoulé,0.0,0.0,0.0
